,TableName,Cnt
0,anz-mdp-transformed-dev.semi_stg.anz_staff,4422
1,anz-mdp-transformed-dev.semi_stg.applications_history_measure_type,490742
2,anz-mdp-transformed-dev.semi_stg.anz_agent,11201
3,anz-mdp-transformed-dev.semi_stg.anz_study_period,599
4,anz-mdp-transformed-dev.semi_stg.anz_applications_enrolment,874583
5,anz-mdp-transformed-dev.semi_stg.postcodes_unique,2625
6,anz-mdp-transformed-dev.semi_stg.study_period_intakes,295
7,anz-mdp-transformed-dev.semi_stg.sf_leads,1180
8,anz-mdp-transformed-dev.semi_stg.anz_program_rules,15934
9,anz-mdp-transformed-dev.semi_stg.applications_salesforce_history_unique,450488
10,anz-mdp-transformed-dev.semi_stg.anz_subject_unique,2420
11,anz-mdp-transformed-dev.semi_stg.study_period_intakes_unique,295
12,anz-mdp-transformed-dev.semi_stg.anz_applications_enrolment_unique,858448
13,anz-mdp-transformed-dev.semi_stg.anz_program_unique,882
14,anz-mdp-transformed-dev.semi_stg.courseroom_discussion,91549
15,anz-mdp-transformed-dev.semi_stg.courseroom_login_unique,647428
16,anz-mdp-transformed-dev.semi_stg.courseroom_users,24038
17,anz-mdp-transformed-dev.semi_stg.enrolment_hermes_history_unique,264584
18,anz-mdp-transformed-dev.semi_stg.program_enrolment_banner_history_unique,152557
19,anz-mdp-transformed-dev.semi_stg.anz_person,341174
20,anz-mdp-transformed-dev.semi_stg.applications_salesforce_history,450488
21,anz-mdp-transformed-dev.semi_stg.anz_staff_unique,4422
22,anz-mdp-transformed-dev.semi_stg.course_credits_banner_unique,149300
23,anz-mdp-transformed-dev.semi_stg.enrolment_sis_history_unique,1939264
24,anz-mdp-transformed-dev.semi_stg.anz_agent_unique,11201
25,anz-mdp-transformed-dev.semi_stg.anz_person_unique,341174
26,anz-mdp-transformed-dev.semi_stg.courseroom_enrollments,93591
27,anz-mdp-transformed-dev.semi_stg.courseroom_users_unique,24038
28,anz-mdp-transformed-dev.semi_stg.anz_program_prereqs_unique,3359
29,anz-mdp-transformed-dev.semi_stg.applications_salesforce_bulkload_unique,304881
30,anz-mdp-transformed-dev.semi_stg.anz_student_study_period_unique,299445
31,anz-mdp-transformed-dev.semi_stg.anz_history_measure_type,643295
32,anz-mdp-transformed-dev.semi_stg.anz_class_unique,50973
33,anz-mdp-transformed-dev.semi_stg.grade_mapping_unique,132
34,anz-mdp-transformed-dev.semi_stg.grade_mapping,132
35,anz-mdp-transformed-dev.semi_stg.sf_leads_unique,1180
36,anz-mdp-transformed-dev.semi_stg.courseroom_gradebook,183417
37,anz-mdp-transformed-dev.semi_stg.applications_salesforce,523197
38,anz-mdp-transformed-dev.semi_stg.anz_intake_history_unique,315230
39,anz-mdp-transformed-dev.semi_stg.anz_history_measure_type_unique,643295
40,anz-mdp-transformed-dev.semi_stg.anz_study_period_unique,599
41,anz-mdp-transformed-dev.semi_stg.applications_history_measure_type_unique,490742
42,anz-mdp-transformed-dev.semi_stg.anz_intake_history,315230
43,anz-mdp-transformed-dev.semi_stg.anz_enrolment_history_ordered_unique,309055
44,anz-mdp-transformed-dev.semi_stg.anz_program,882
45,anz-mdp-transformed-dev.semi_stg.sf_opportunities,901508
46,anz-mdp-transformed-dev.semi_stg.program_enrolment_banner_unique,83837
47,anz-mdp-transformed-dev.semi_stg.courseroom_announcement,76346
48,anz-mdp-transformed-dev.semi_stg.courseroom_announcement_unique,60820
49,anz-mdp-transformed-dev.semi_stg.ratified_grade_banner_unique,573383
50,anz-mdp-transformed-dev.semi_stg.courseroom_terms_unique,178
51,anz-mdp-transformed-dev.semi_stg.courseroom_login,647428
52,anz-mdp-transformed-dev.semi_stg.anz_program_enrolment_unique,351386
53,anz-mdp-transformed-dev.semi_stg.anz_college_unique,25
54,anz-mdp-transformed-dev.semi_stg.program_enrolment_hermes_unique,267549
55,anz-mdp-transformed-dev.semi_stg.anz_program_rules_unique,15934
56,anz-mdp-transformed-dev.semi_stg.subject_enrolment_hermes,2139992
57,anz-mdp-transformed-dev.semi_stg.anz_subject,2420
58,anz-mdp-transformed-dev.semi_stg.anz_date,401767
59,anz-mdp-transformed-dev.semi_stg.postcodes,2625
60,anz-mdp-transformed-dev.semi_stg.australian_postcodes_unique,17894
61,anz-mdp-transformed-dev.semi_stg.program_enrolment_banner_history,152557
62,anz-mdp-transformed-dev.semi_stg.subject_enrolment_banner,936817
63,anz-mdp-transformed-dev.semi_stg.program_enrolment_banner,83837
64,anz-mdp-transformed-dev.semi_stg.anz_program_enrolment,351386
65,anz-mdp-transformed-dev.semi_stg.anz_campus,26
66,anz-mdp-transformed-dev.semi_stg.subject_enrolment_completion_banner_unique,66515
67,anz-mdp-transformed-dev.semi_stg.enrolment_hermes_history,322117
68,anz-mdp-transformed-dev.semi_stg.subject_enrolment_completion_banner,66515
69,anz-mdp-transformed-dev.semi_stg.anz_campus_unique,26
70,anz-mdp-transformed-dev.semi_stg.enrolment_sis_history,1939264
71,anz-mdp-transformed-dev.semi_stg.applications_salesforce_bulkload,304881
72,anz-mdp-transformed-dev.semi_stg.program_enrolment_hermes,267549
73,anz-mdp-transformed-dev.semi_stg.courseroom_discussion_unique,91549
74,anz-mdp-transformed-dev.semi_stg.anz_intake_measure_type_unique,351780
75,anz-mdp-transformed-dev.semi_stg.anz_intake_measure_type,351780
76,anz-mdp-transformed-dev.semi_stg.anz_enrolment_history_measure_type_unique,643403
77,anz-mdp-transformed-dev.semi_stg.anz_student_study_period,299445
78,anz-mdp-transformed-dev.semi_stg.ratified_grade_banner,573383
79,anz-mdp-transformed-dev.semi_stg.anz_class,50973
80,anz-mdp-transformed-dev.semi_stg.course_credits_banner,149300
81,anz-mdp-transformed-dev.semi_stg.applications_salesforce_unique,523197
82,anz-mdp-transformed-dev.semi_stg.anz_date_unique,401767
83,anz-mdp-transformed-dev.semi_stg.courseroom_terms,178
84,anz-mdp-transformed-dev.semi_stg.subject_enrolment_banner_unique,936817
85,anz-mdp-transformed-dev.semi_stg.enrolment_banner_history_unique,1679238
86,anz-mdp-transformed-dev.semi_stg.anz_college,25
87,anz-mdp-transformed-dev.semi_stg.subject_enrolment_hermes_unique,2139992
88,anz-mdp-transformed-dev.semi_stg.anz_enrolment_history_measure_type,643403
89,anz-mdp-transformed-dev.semi_stg.anz_program_prereqs,3359
90,anz-mdp-transformed-dev.semi_stg.enrolment_banner_history,1679238
91,anz-mdp-transformed-dev.semi_stg.courseroom_enrollments_unique,93591
92,anz-mdp-transformed-dev.semi_stg.anz_enrolment_history_ordered,309060
93,anz-mdp-transformed-dev.semi_stg.australian_postcodes,17894
94,anz-mdp-transformed-dev.semi_stg.sf_opportunities_unique,901508
